id,type,info_name,info_image,info_caption,info_birth_name,info_birth_date,info_height,info_birth_place,info_other_names,info_occupation,info_active_years,info_nationality,info_ethnicity,info_notable_works,info_quê quán,info_spouse,info_cha,info_mẹ,info_relatives,info_education,info_notable works,info_alias,info_children,info_quốc gia,info_Anh chị em ruột,info_alma_mater,info_agent,info_years_active,info_awards,info_nền,info_vai diễn,info_phim,info_vợ,info_trường lớp,info_giải thưởng 1,info_hạng mục 1,info_giải thưởng 2,info_hạng mục 2,info_kích thước hình,info_nghệ danh,info_chồng,info_con,info_imagesize,info_birthname,info_birthdate,info_học vị,info_birthplace,info_website,info_tên gốc,info_chú thích hình,info_năm hoạt động âm nhạc,info_thành viên của,info_ngày mất,info_nơi mất,info_nguyên nhân cái chết,info_cư trú,info_country,info_lĩnh vực hoạt động,info_honorific prefix,info_danh hiệu,info_hôn nhân,info_dòng nhạc,info_ca khúc,info_tôn giáo,info_tiền tố,info_thể loại điện ảnh,info_nguyên nhân mất,info_tác phẩm điện ảnh,info_năm hoạt động sân khấu,info_tác phẩm sân khấu,info_đào tạo,info_vai trò điện ảnh,info_vai trò sân khấu,info_vai,info_vở kịch,info_công ty sân khấu,info_năm 1,info_năm 2,info_module,info_giải thưởng 4,info_năm 4,info_hạng mục 4,info_religion,info_embed,info_nguyên quán,info_thể loại,info_nhạc cụ,info_death_date,info_death_place,info_an táng,info_bố mẹ,info_biệt danh,info_chữ ký,info_hợp tác với,info_cỡ hình,info_hãng đĩa,info_cân nặng,info_yearsactive,info_parents,info_nổi tiếng,info_giai đoạn sáng tác văn học,info_trào lưu văn học,info_chủ đề văn học,info_tác phẩm văn học,info_honorific_prefix,info_honorific_suffix,info_id,info_channel_direct_url,info_channel_display_name,info_genre,info_subscribers,info_silver_button,info_gold_button,info_silver_year,info_gold_year,info_othername,info_giải thưởng 3,info_hạng mục 3,info_weight,info_kỷ nguyên,info_nghệ danh điện ảnh,info_nghệ danh sân khấu,info_trường phái sân khấu,info_đào tạo sân khấu,info_studio sân khấu,info_đào tạo điện ảnh,info_giải thưởng điện ảnh,info_Kích cỡ,info_Chú thích hình,info_instrument,info_voice type,info_thể loại sân khấu,info_tên thánh,info_fanpage,info_vai trò âm nhạc,info_nghệ danh âm nhạc,info_nhóm nhạc,info_mất,info_đảng,info_bút danh,info_năm hoạt động văn học,info_bút danh điện ảnh,info_field,info_đoàn kịch,info_chức vụ,info_bắt đầu,info_kết thúc,info_kế nhiệm,info_ảnh hưởng tới,info_deathdate,info_deathplace,info_Background,info_Tên nghệ sĩ,info_Nghệ danh,info_Ngày sinh,info_Nguyên quán,info_Nơi sinh,info_Hôn nhân,info_Dòng nhạc,info_Đào tạo,info_Nghề nghiệp,info_Nhạc cụ,info_Năm hoạt động,info_Công ty quản lý,info_Thành viên cũ của,info_Hình,info_Kích thước hình,info_image size,info_image_size,info_resting_place,info_1,info_2,info_signature_size,info_cha mẹ,info_Vợ,info_chú thích,info_background,info_tên thật,info_ca sĩ,info_tước vị,info_thêm,info_chức vị,info_tại vị,info_kiểu tại vị,info_tiền nhiệm,info_hoàng tộc,info_kiểu hoàng tộc,info_Vai diễn chú ý,info_bgcolour,info_notable role,info_khen thưởng,info_đoàn kịch điện ảnh,info_sport,info_medaltemplates,info_show-medals,info_thể loại âm nhạc,info_Giới tính,info_chức vụ 2,info_bắt đầu 2,info_kết thúc 2,info_tiền nhiệm 2,info_học sinh,info_bút danh văn học,info_thể loại văn học,info_giải thưởng văn học,info_sự nghiệp khác,info_cỡ chữ ký,info_residence,info_location,info_đại diện,info_height_m,info_studio điện ảnh,info_honors,info_Họ tên,info_Tên khai sinh,info_Tên,info_tôn hiệu,info_miếu hiệu,info_tên đầy đủ,info_kiểu tên đầy đủ,info_tước vị đầy đủ,info_thông tin tước vị đầy đủ,info_thụy hiệu,info_thông tin con cái,info_sinh,info_nơi an táng,info_đào tạo thời trang,info_vai trò thời trang,info_năm hoạt động thời trang,info_đào tạo âm nhạc,info_ảnh hưởng bởi,info_Kích cỡ hình,info_stats_update,info_tổ chức,info_Chức vụ,info_Nước,info_Sinh,info_Mất,info_Phồn thể,info_Giản thể,info_Bính âm,info_Tự,info_nổi tiếng vì,info_lĩnh vực,info_giai đoạn sáng tác điện ảnh,info_Hoạt động,info_cuộc thi,info_relations,info_giải thưởng âm nhạc,info_kiểu phối ngẫu,info_giai đoạn hoạt động,info_Chiều cao,info_đăng quang,info_thông tin phối ngẫu 2,info_niên hiệu,info_other_name,info_academyawards,info_emmyawards,info_partner,info_phối ngẫu,info_tác phẩm âm nhạc,info_hậu tố,info_thể loại hội họa,info_đào tạo hội họa,info_tác phẩm hội họa,info_năm 3,info_giải thưởng sân khấu,info_channels,info_views,info_trường phái âm nhạc,info_chủ đề âm nhạc,info_module2,info_imdb,info_bố,info_học hàm,info_associated_acts,info_ca khúc hoàng gia,info_thời gian của niên hiệu,info_thông tin phối ngẫu,info_known,info_vở cải lương nổi bật,info_name 1,info_chức vị 1,info_tại vị 1,info_kế nhiệm 1,info_chức vị 2,info_kiểu tại vị 2,info_tại vị 2,info_chức vị 3,info_kiểu tại vị 3,info_tại vị 3,info_chức vị 4,info_kiểu tại vị 4,info_tại vị 4,info_tiền nhiệm 3,info_kế nhiệm 3,info_tiền nhiệm 4,info_ngày an táng,info_chức vị 5,info_kiểu tại vị 5,info_tại vị 5,info_module6,info_origin,info_organization,info_Hợp tác với,info_tiêu đề,info_order1,info_term_start1,info_term_end1,info_successor1,info_party,info_blank1,info_data1,info_native_name_lang,info_đại lý,info_Tôn giáo,info_gia đình,info_nghề ngiệp,info_chủ đề điện ảnh,info_website điện ảnh,info_anh chị em,info_citizenship,info_vai diễn đáng chú ý,info_tác phẩm văn học nổi bật,info_bút danh âm nhạc,info_giai đoạn sáng tác âm nhạc,info_vai trò,info_màu,info_màu chữ,info_tước hiệu,info_training,info_tivi,info_famous works,info_trường phái điện ảnh,info_father,info_công ty quản lý điện ảnh,info_Kiểu giọng,info_Genre,info_known_for,info_death cause,info_giải thưởng nghệ thuật,info_em trai,info_kế nhiệm 2,info_nickname,info_allegiance,info_serviceyears,info_rank,info_commands,info_unit,info_battles,info_giới tính,info_phó chức vụ,info_phó viên chức,info_con trai,info_con gái,info_patrons,info_triều đại,info_employer,info_known for
Trung Anh,person,Trung Anh,Trung Anh.png,Nghệ sĩ Trung Anh vào năm 2020,Bùi Trung Anh,1961-06-14,,"Đức Thọ, Hà Tĩnh, Việt Nam Dân chủ Cộng hòa",,"Kịch sĩ, Tài tử điện ảnh và truyền hình, Nghệ sĩ chuyển âm",1995 – nay,Việt Nam,Kinh,,,,,,,,,,2,Việt Nam,,,,,,diễn viên sân khấu,Ông Sơn,Về nhà đi con,Minh Hiếu,,Liên hoan phim Việt Nam lần thứ 19,Nam diễn viên chính xuất sắc,Cánh Diều Vàng 2017,Nam diễn viên phụ xuất sắc,,,,"Đức Việt, Thục Anh",,,,,,,,,,,,,,,,,,"Nghệ sĩ Ưu tú (2007), Nghệ sĩ Nhân dân (2019)",,,,,Nghệ sĩ Nhân dân,,,,1982 – 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà hát Kịch Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,292px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xuân Nghị,person,Xuân Nghị,XUAN NGHI 2021.jpg,Xuân Nghị năm 2021,Đỗ Xuân Nghị,1990-04-03,,"Khánh Hòa, Việt Nam",,"Diễn viên, Diễn viên hài",2010 &ndash; nay,Việt Nam,Kinh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đồng Ánh Quỳnh,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tóc Tiên ca sĩ,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rima Thanh Vy,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuận Nguyễn,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gi A Nguyễn,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phan Thanh Hiền,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trần Thị Thanh Hoa,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanh Mai MC,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lê Công Tuấn Anh,person,Lê Công Tuấn Anh,Lê Công Tuấn Anh.jpg,,,1967-02-02,,"Sài Gòn, Việt Nam Cộng hòa",Lê Công,Diễn viên,1985 – 1996,Việt Nam,Kinh,,Thành phố Huế,,,,,,,,,,,,,,,diễn viên,"Quang ""Đông-ki-sốt""",Vị đắng tình yêu,,,Liên hoan phim Việt Nam,Nam diễn viên chính xuất sắc,,,,,,,,,,,,,,,,,,,,,,,,,,,,không,,,Tự sát,,,,,,,,,,1993,,,,,,,,,,,"1996, 10, 17, 1967, 2, 2","Thành phố Hồ Chí Minh, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260px,"Chùa Nghệ Sĩ, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lê Tuấn Anh diễn viên sinh 1968,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chung Vũ Thanh Uyên,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanh Vy,person,Thanh Vy,,,Trần Thị Thanh Vy,1947-03-02,,"Hà Nội, Việt Nam Dân chủ Cộng hoà",,"Diễn viên sân khấu, Diễn viên truyền hình, Diễn viên điện ảnh",,Việt Nam,,,,Hùng Tấn (1971 - nay),,,"Thanh Dậu (chị gái), Trần Hồng, Văn Hai, Văn Môn (em trai)",,,,Thanh Lâm,,,,,,,diễn viên sân khấu,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cải lương,,"Nghệ sĩ Ưu tú (1984), Nghệ sĩ Nhân dân (2019)",,,,,Nghệ sĩ Nhân dân,,,,1958 &ndash; nay,,,,,Xê-đa,Nàng Xê-đa,,,,,,,,,,,,,,,,,,,,,,,,"Trần Vân, Vân Quý",,,,,,,,,,,,,,,,,,,,,,,,,Trường Trung cấp Nghệ thuật Hà Nội,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thùy Liên,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vân Sơn nghệ sĩ hài,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bảo Liêm,person,Bảo Liêm,Baoliem2019.jpg,,Trần Bảo Liêm,1956-07-12,,"Sài Gòn, Việt Nam Cộng hòa",,"Diễn viên, Nghệ sĩ hài",1990 - nay,Hoa Kỳ,,,,"Hồng Hạnh (vợ đâu), Bảo Vy (vợ thứ 2)",,,,,,,,,,,,,,diễn viên sân khấu,,,"Hồng Hạnh (vợ đâu), Bảo Vy (vợ thứ 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vân Sơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bé Mập,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quang Minh diễn viên,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Văn Chung kịch sĩ,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anh Thư,person,Anh Thư,Anh Thư.png,,Nguyễn Thị Anh Thư,1982-04-26,,"Thành phố Hồ Chí Minh, Việt Nam",,* Người mẫu * Diễn viên,1999 – nay,,Kinh,,,Trần Thanh Long (2004),,,,THPT Nguyễn Hiền,,,"Trần Minh Khoa, (sinh 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child = yes, height = 1,72m, số đo = 86-60-96, kích thước giày = 40, cuộc thi = *Hoa hậu Toàn quốc Báo Tiền Phong 2000, (Top 22) *Hoa hậu Người mẫu Việt Nam qua ảnh 2001, (Top 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mạc Can,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lâm Nguyễn,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoàng Lan,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quang Hiếu,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
